Time	Start	Mid	End	Avg	Name	Word	Vowel	f1	f2	f3
0.005	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
0.689989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	s_j	444.34459954590073	1834.882620941152	3648.446935853161
0.654989583333333:0.689989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	s_j	552.7102138894672	2200.147903055376	3677.713958822477
0.694989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n	435.70043100399533	1760.9448684095516	3672.3803603005103
0.707489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n	446.06704145103316	1645.586296750283	3712.1299403853004
0.719989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n	456.06396897525417	1599.882922058788	3597.7486825015308
0.694989583333333:0.719989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n	442.8019490272101	1685.4361641383903	3692.6436198404936
0.724989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	456.8142394877437	1604.3432653333693	3534.200737262743
0.737489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	449.642010657028	1712.946579976415	3420.500600464053
0.749989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	445.3206427678801	1882.3909624732648	3426.5030322657503
0.724989583333333:0.749989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	451.69634157559443	1680.7297212942765	3462.875850403685
0.754989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	Z	449.32818572056516	1972.5270610972466	3431.069016581046
0.782489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	Z	481.1551115887707	2228.5265835354326	3349.394428382025
0.809989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	Z	418.8492271256634	1695.7883750993217	3212.7351182849848
